(PDH-CSV 40) (India Standard Time)(-330),\\GCWJQ6C2E\Processor(_Total)\% Processor Time,\\GCWJQ6C2E\Memory\Available MBytes,\\GCWJQ6C2E\Memory\Commit Limit,\\GCWJQ6C2E\Memory\Committed Bytes,\\GCWJQ6C2E\Process(eclipse)\% Processor Time,\\GCWJQ6C2E\Process(eclipse)\Private Bytes
30:59.9, ,519,16977506304,12878954496, ,450113536
31:09.8,11.32476961,526,16977506304,12859850752,0,450113536
31:19.9,13.75693867,519,16977506304,12867039232,0,450113536
31:29.9,14.57236647,519,16977506304,12866297856,5.305095019,450306048
31:39.9,14.98944756,517,16977506304,12864577536,14.36358287,450433024
31:49.9,14.89294329,514,16977506304,12872286208,6.55269727,451014656
31:59.9,16.15784722,518,16977506304,12865884160,0.155985401,450449408
32:09.8,10.7796619,600,16977506304,12791148544,0,450449408
32:19.8,5.843981398,602,16977506304,12789370880,0,450449408
32:29.8,13.89605839,596,16977506304,12802617344,0,450449408
32:39.9,11.42686126,578,16977506304,12790378496,0,450449408
32:49.9,5.687963796,579,16977506304,12790517760,0,450449408
32:59.9,5.326327734,580,16977506304,12789641216,0,450359296
33:09.9,6.243399,579,16977506304,12783505408,0.624004,450359296
33:19.9,5.814396,578,16977506304,12783722496,0,450359296
33:29.9,9.17750025,576,16977506304,12786864128,0,450359296
33:39.9,7.296406,577,16977506304,12785983488,0.156001,450277376
33:49.8,5.95573603,576,16977506304,12787359744,0,450277376
33:59.8,8.08560244,572,16977506304,12789080064,0,450277376
34:09.8,7.929616038,571,16977506304,12796215296,0,450277376
34:19.8,5.959609117,571,16977506304,12795748352,0,450277376
34:29.8,5.335792262,571,16977506304,12795457536,0,450277376
34:39.8,7.945356356,569,16977506304,12798935040,0,450277376
34:49.8,5.861465267,570,16977506304,12798038016,0,450277376
34:59.8,6.134330835,570,16977506304,12798738432,0,450277376
35:09.8,7.71112012,569,16977506304,12793483264,0,450277376
35:19.8,6.240406675,570,16977506304,12793610240,0,450277376
35:29.8,6.169802763,580,16977506304,12779462656,0,450277376
35:39.8,12.79132447,572,16977506304,12786642944,2.339079368,450277376
35:49.8,7.899829034,579,16977506304,12782227456,0,450277376
35:59.8,16.19974315,575,16977506304,12784287744,0,450277376
36:09.8,28.785543,526,16977506304,12841279488,0.156001,450277376
36:19.8,12.72971666,516,16977506304,12855431168,0,450277376
